sample_id,device_id,cache_index,victim_clean_correct,evaluator_clean_correct,dual_clean_correct,selected
wifib|device=1|capture=23Jan|frame=2602|row=2266,1,2266,True,True,True,True
wifib|device=1|capture=23Jan|frame=2348|row=2048,1,2048,True,True,True,True
wifib|device=1|capture=23Jan|frame=2574|row=2240,1,2240,True,True,True,True
wifib|device=1|capture=23Jan|frame=2670|row=2330,1,2330,True,True,True,True
wifib|device=1|capture=23Jan|frame=2281|row=1983,1,1983,True,True,True,True
wifib|device=1|capture=23Jan|frame=2623|row=2283,1,2283,False,True,False,False
wifib|device=1|capture=23Jan|frame=2731|row=2381,1,2381,True,True,True,True
wifib|device=1|capture=23Jan|frame=2197|row=1913,1,1913,True,True,True,True
wifib|device=1|capture=23Jan|frame=2188|row=1908,1,1908,True,True,True,True
wifib|device=1|capture=23Jan|frame=2681|row=2339,1,2339,True,True,True,True
wifib|device=1|capture=23Jan|frame=2341|row=2041,1,2041,True,True,True,True
wifib|device=1|capture=23Jan|frame=2743|row=2393,1,2393,False,True,False,False
wifib|device=1|capture=23Jan|frame=2572|row=2238,1,2238,True,True,True,False
wifib|device=1|capture=23Jan|frame=2364|row=2064,1,2064,True,True,True,False
wifib|device=1|capture=23Jan|frame=2493|row=2177,1,2177,True,True,True,False
wifib|device=1|capture=23Jan|frame=2294|row=1994,1,1994,True,True,True,False
wifib|device=1|capture=23Jan|frame=2360|row=2060,1,2060,True,True,True,False
wifib|device=1|capture=23Jan|frame=2324|row=2024,1,2024,True,True,True,False
wifib|device=1|capture=23Jan|frame=2501|row=2183,1,2183,True,True,True,False
wifib|device=1|capture=23Jan|frame=2716|row=2366,1,2366,True,True,True,False
wifib|device=1|capture=23Jan|frame=2466|row=2156,1,2156,True,True,True,False
wifib|device=1|capture=23Jan|frame=2693|row=2349,1,2349,True,True,True,False
wifib|device=1|capture=23Jan|frame=2640|row=2300,1,2300,True,True,True,False
wifib|device=1|capture=23Jan|frame=2683|row=2341,1,2341,True,True,True,False
wifib|device=1|capture=23Jan|frame=2354|row=2054,1,2054,True,True,True,False
wifib|device=1|capture=23Jan|frame=2302|row=2002,1,2002,True,True,True,False
wifib|device=1|capture=23Jan|frame=2251|row=1955,1,1955,True,True,True,False
wifib|device=1|capture=23Jan|frame=2517|row=2199,1,2199,True,True,True,False
wifib|device=1|capture=23Jan|frame=2732|row=2382,1,2382,False,True,False,False
wifib|device=1|capture=23Jan|frame=2441|row=2137,1,2137,True,True,True,False
wifib|device=1|capture=23Jan|frame=2682|row=2340,1,2340,False,True,False,False
wifib|device=1|capture=23Jan|frame=2318|row=2018,1,2018,True,True,True,False
wifib|device=1|capture=23Jan|frame=2410|row=2108,1,2108,True,True,True,False
wifib|device=1|capture=23Jan|frame=2261|row=1965,1,1965,True,True,True,False
wifib|device=1|capture=23Jan|frame=2186|row=1906,1,1906,True,True,True,False
wifib|device=1|capture=23Jan|frame=2319|row=2019,1,2019,True,True,True,False
wifib|device=1|capture=23Jan|frame=2393|row=2091,1,2091,True,True,True,False
wifib|device=1|capture=23Jan|frame=2692|row=2348,1,2348,False,True,False,False
wifib|device=1|capture=23Jan|frame=2304|row=2004,1,2004,True,True,True,False
wifib|device=1|capture=23Jan|frame=2388|row=2086,1,2086,True,True,True,False
wifib|device=1|capture=23Jan|frame=2475|row=2165,1,2165,True,True,True,False
wifib|device=1|capture=23Jan|frame=2263|row=1967,1,1967,True,True,True,False
wifib|device=1|capture=23Jan|frame=2512|row=2194,1,2194,True,True,True,False
wifib|device=1|capture=23Jan|frame=2442|row=2138,1,2138,True,True,True,False
wifib|device=1|capture=23Jan|frame=2436|row=2132,1,2132,True,True,True,False
wifib|device=1|capture=23Jan|frame=2704|row=2358,1,2358,True,True,True,False
wifib|device=1|capture=23Jan|frame=2651|row=2311,1,2311,True,True,True,False
wifib|device=1|capture=23Jan|frame=2703|row=2357,1,2357,False,True,False,False
wifib|device=1|capture=23Jan|frame=2739|row=2389,1,2389,True,True,True,False
wifib|device=1|capture=23Jan|frame=2610|row=2274,1,2274,True,True,True,False
wifib|device=1|capture=23Jan|frame=2767|row=2413,1,2413,False,True,False,False
