sample_id,device_id,cache_index,victim_clean_correct,evaluator_clean_correct,dual_clean_correct,selected
wifib|device=1|capture=23Jan|frame=2602|row=2266,1,2266,True,True,True,True
wifib|device=1|capture=23Jan|frame=2348|row=2048,1,2048,True,True,True,True
wifib|device=1|capture=23Jan|frame=2574|row=2240,1,2240,True,True,True,True
wifib|device=1|capture=23Jan|frame=2670|row=2330,1,2330,True,True,True,True
wifib|device=1|capture=23Jan|frame=2281|row=1983,1,1983,True,True,True,True
wifib|device=1|capture=23Jan|frame=2731|row=2381,1,2381,True,True,True,True
wifib|device=1|capture=23Jan|frame=2197|row=1913,1,1913,True,True,True,True
wifib|device=1|capture=23Jan|frame=2188|row=1908,1,1908,True,True,True,True
wifib|device=1|capture=23Jan|frame=2681|row=2339,1,2339,True,True,True,True
wifib|device=1|capture=23Jan|frame=2341|row=2041,1,2041,True,True,True,True
wifib|device=4|capture=23Jan|frame=2700|row=2454,4,30464,True,True,True,True
wifib|device=4|capture=23Jan|frame=2174|row=1966,4,29976,True,True,True,True
wifib|device=4|capture=23Jan|frame=2268|row=2048,4,30058,True,True,True,True
wifib|device=4|capture=23Jan|frame=2455|row=2215,4,30225,True,True,True,True
wifib|device=4|capture=23Jan|frame=2493|row=2253,4,30263,True,True,True,True
wifib|device=4|capture=23Jan|frame=2171|row=1963,4,29973,True,True,True,True
wifib|device=4|capture=23Jan|frame=2574|row=2330,4,30340,True,True,True,True
wifib|device=4|capture=23Jan|frame=2465|row=2225,4,30235,True,True,True,True
wifib|device=4|capture=23Jan|frame=2507|row=2267,4,30277,True,True,True,True
wifib|device=4|capture=23Jan|frame=2414|row=2180,4,30190,True,True,True,True
wifib|device=5|capture=23Jan|frame=2165|row=1972,5,48228,True,True,True,True
wifib|device=5|capture=23Jan|frame=2344|row=2139,5,48395,True,True,True,True
wifib|device=5|capture=23Jan|frame=2182|row=1987,5,48243,True,True,True,True
wifib|device=5|capture=23Jan|frame=2257|row=2060,5,48316,True,True,True,True
wifib|device=5|capture=23Jan|frame=2400|row=2193,5,48449,True,True,True,True
wifib|device=5|capture=23Jan|frame=2481|row=2262,5,48518,True,True,True,True
wifib|device=5|capture=23Jan|frame=2679|row=2456,5,48712,True,True,True,True
wifib|device=5|capture=23Jan|frame=2381|row=2174,5,48430,True,True,True,True
wifib|device=5|capture=23Jan|frame=2340|row=2135,5,48391,True,True,True,True
wifib|device=5|capture=23Jan|frame=2473|row=2256,5,48512,True,True,True,True
wifib|device=6|capture=23Jan|frame=2690|row=2146,6,51973,True,True,True,True
wifib|device=6|capture=23Jan|frame=2541|row=2021,6,51848,True,True,True,True
wifib|device=6|capture=23Jan|frame=2689|row=2145,6,51972,True,True,True,True
wifib|device=6|capture=23Jan|frame=2335|row=1847,6,51674,True,True,True,True
wifib|device=6|capture=23Jan|frame=2530|row=2010,6,51837,True,True,True,True
wifib|device=6|capture=23Jan|frame=2708|row=2158,6,51985,True,True,True,True
wifib|device=6|capture=23Jan|frame=2570|row=2044,6,51871,True,True,True,True
wifib|device=6|capture=23Jan|frame=2283|row=1801,6,51628,True,True,True,True
wifib|device=6|capture=23Jan|frame=2630|row=2090,6,51917,True,True,True,True
wifib|device=6|capture=23Jan|frame=2438|row=1928,6,51755,True,True,True,True
wifib|device=7|capture=23Jan|frame=2680|row=2091,7,55145,True,True,True,True
wifib|device=7|capture=23Jan|frame=2425|row=1892,7,54946,True,True,True,True
wifib|device=7|capture=23Jan|frame=2597|row=2027,7,55081,True,True,True,True
wifib|device=7|capture=23Jan|frame=2588|row=2020,7,55074,True,True,True,True
wifib|device=7|capture=23Jan|frame=2445|row=1906,7,54960,True,True,True,True
wifib|device=7|capture=23Jan|frame=2661|row=2080,7,55134,True,True,True,True
wifib|device=7|capture=23Jan|frame=2574|row=2008,7,55062,True,True,True,True
wifib|device=7|capture=23Jan|frame=2657|row=2076,7,55130,True,True,True,True
wifib|device=7|capture=23Jan|frame=2396|row=1865,7,54919,True,True,True,True
wifib|device=7|capture=23Jan|frame=2213|row=1730,7,54784,True,True,True,True
wifib|device=8|capture=23Jan|frame=2285|row=1821,8,58017,True,True,True,True
