sample_id,device_id,cache_index,chronological_rank,buffer_segment_id,true_label,victim_prediction,victim_confidence,victim_true_confidence,victim_clean_correct,evaluator_prediction,evaluator_confidence,evaluator_true_confidence,evaluator_clean_correct,dual_clean_correct,selected_policy_gate
wifib|device=1|capture=23Jan|frame=2124|row=1856,1,1856,1856,0,0,1,0.560740053653717,0.560740053653717,True,11,0.9027752876281738,0.0648627057671547,False,False,False
wifib|device=1|capture=23Jan|frame=2127|row=1857,1,1857,1857,0,0,11,0.5239830017089844,0.3323062062263489,False,11,0.6475377678871155,0.2939201891422272,False,False,False
wifib|device=1|capture=23Jan|frame=2128|row=1858,1,1858,1858,0,0,1,0.6332777738571167,0.6332777738571167,True,1,0.9796392917633057,0.9796392917633057,True,True,False
wifib|device=1|capture=23Jan|frame=2129|row=1859,1,1859,1859,0,0,1,0.6580955386161804,0.6580955386161804,True,1,0.9816589951515198,0.9816589951515198,True,True,True
wifib|device=1|capture=23Jan|frame=2130|row=1860,1,1860,1860,0,0,1,0.5780911445617676,0.5780911445617676,True,1,0.8681465983390808,0.8681465983390808,True,True,False
wifib|device=1|capture=23Jan|frame=2131|row=1861,1,1861,1861,0,0,1,0.6320858597755432,0.6320858597755432,True,1,0.9826085567474365,0.9826085567474365,True,True,True
wifib|device=1|capture=23Jan|frame=2132|row=1862,1,1862,1862,0,0,1,0.5747599005699158,0.5747599005699158,True,1,0.98607337474823,0.98607337474823,True,True,False
wifib|device=1|capture=23Jan|frame=2133|row=1863,1,1863,1863,0,0,1,0.6922420859336853,0.6922420859336853,True,1,0.9943689703941345,0.9943689703941345,True,True,True
wifib|device=1|capture=23Jan|frame=2134|row=1864,1,1864,1864,0,0,1,0.6071843504905701,0.6071843504905701,True,1,0.9937601685523987,0.9937601685523987,True,True,False
wifib|device=1|capture=23Jan|frame=2135|row=1865,1,1865,1865,0,0,1,0.6270413994789124,0.6270413994789124,True,1,0.9736003875732422,0.9736003875732422,True,True,False
wifib|device=1|capture=23Jan|frame=2136|row=1866,1,1866,1866,0,0,1,0.657829225063324,0.657829225063324,True,1,0.9879561066627502,0.9879561066627502,True,True,True
wifib|device=1|capture=23Jan|frame=2137|row=1867,1,1867,1867,0,0,1,0.6600707769393921,0.6600707769393921,True,1,0.9766814708709717,0.9766814708709717,True,True,False
wifib|device=1|capture=23Jan|frame=2138|row=1868,1,1868,1868,0,0,1,0.599433422088623,0.599433422088623,True,1,0.9673366546630859,0.9673366546630859,True,True,False
wifib|device=1|capture=23Jan|frame=2141|row=1869,1,1869,1869,0,0,1,0.6031876802444458,0.6031876802444458,True,1,0.9665865302085876,0.9665865302085876,True,True,False
wifib|device=1|capture=23Jan|frame=2142|row=1870,1,1870,1870,0,0,1,0.5356037616729736,0.5356037616729736,True,1,0.9600232243537903,0.9600232243537903,True,True,True
wifib|device=1|capture=23Jan|frame=2143|row=1871,1,1871,1871,0,0,1,0.5206288695335388,0.5206288695335388,True,1,0.9922080636024475,0.9922080636024475,True,True,False
wifib|device=1|capture=23Jan|frame=2144|row=1872,1,1872,1872,0,0,1,0.6943496465682983,0.6943496465682983,True,1,0.9838380813598633,0.9838380813598633,True,True,False
wifib|device=1|capture=23Jan|frame=2145|row=1873,1,1873,1873,0,0,1,0.5862983465194702,0.5862983465194702,True,1,0.9842363595962524,0.9842363595962524,True,True,False
wifib|device=1|capture=23Jan|frame=2146|row=1874,1,1874,1874,0,0,1,0.6261273622512817,0.6261273622512817,True,1,0.9919511079788208,0.9919511079788208,True,True,False
wifib|device=1|capture=23Jan|frame=2147|row=1875,1,1875,1875,0,0,1,0.6952780485153198,0.6952780485153198,True,1,0.9927293658256531,0.9927293658256531,True,True,False
wifib|device=1|capture=23Jan|frame=2148|row=1876,1,1876,1876,0,0,1,0.6496465802192688,0.6496465802192688,True,1,0.9728503227233887,0.9728503227233887,True,True,False
wifib|device=1|capture=23Jan|frame=2149|row=1877,1,1877,1877,0,0,1,0.656387209892273,0.656387209892273,True,1,0.9894746541976929,0.9894746541976929,True,True,True
wifib|device=1|capture=23Jan|frame=2150|row=1878,1,1878,1878,0,0,1,0.6463158130645752,0.6463158130645752,True,1,0.989944338798523,0.989944338798523,True,True,False
wifib|device=1|capture=23Jan|frame=2151|row=1879,1,1879,1879,0,0,1,0.5156861543655396,0.5156861543655396,True,1,0.9630013108253479,0.9630013108253479,True,True,True
wifib|device=1|capture=23Jan|frame=2152|row=1880,1,1880,1880,0,0,1,0.5626432299613953,0.5626432299613953,True,1,0.9812846779823303,0.9812846779823303,True,True,False
wifib|device=1|capture=23Jan|frame=2153|row=1881,1,1881,1881,0,0,1,0.6876524090766907,0.6876524090766907,True,1,0.9841874837875366,0.9841874837875366,True,True,False
wifib|device=1|capture=23Jan|frame=2154|row=1882,1,1882,1882,0,0,1,0.7023478150367737,0.7023478150367737,True,1,0.9534399509429932,0.9534399509429932,True,True,False
wifib|device=1|capture=23Jan|frame=2155|row=1883,1,1883,1883,0,0,1,0.5634372234344482,0.5634372234344482,True,1,0.9915462136268616,0.9915462136268616,True,True,True
wifib|device=1|capture=23Jan|frame=2156|row=1884,1,1884,1884,0,0,1,0.666426420211792,0.666426420211792,True,1,0.9782337546348572,0.9782337546348572,True,True,False
wifib|device=1|capture=23Jan|frame=2157|row=1885,1,1885,1885,0,0,1,0.6326857209205627,0.6326857209205627,True,1,0.9881232380867004,0.9881232380867004,True,True,False
wifib|device=1|capture=23Jan|frame=2158|row=1886,1,1886,1886,0,0,1,0.5921236872673035,0.5921236872673035,True,1,0.9367544651031494,0.9367544651031494,True,True,False
wifib|device=1|capture=23Jan|frame=2161|row=1887,1,1887,1887,0,0,1,0.6288303136825562,0.6288303136825562,True,1,0.9466682076454163,0.9466682076454163,True,True,False
wifib|device=1|capture=23Jan|frame=2162|row=1888,1,1888,1888,0,0,1,0.5154901742935181,0.5154901742935181,True,1,0.9885607361793518,0.9885607361793518,True,True,False
wifib|device=1|capture=23Jan|frame=2163|row=1889,1,1889,1889,0,0,1,0.5407288074493408,0.5407288074493408,True,1,0.9136174321174622,0.9136174321174622,True,True,False
wifib|device=1|capture=23Jan|frame=2164|row=1890,1,1890,1890,0,0,1,0.6633239388465881,0.6633239388465881,True,1,0.9862694144248962,0.9862694144248962,True,True,False
wifib|device=1|capture=23Jan|frame=2770|row=2416,1,2416,2416,1,0,1,0.5059936046600342,0.5059936046600342,True,1,0.980119526386261,0.980119526386261,True,True,False
wifib|device=1|capture=23Jan|frame=2771|row=2417,1,2417,2417,1,0,1,0.5691983699798584,0.5691983699798584,True,1,0.9531810283660889,0.9531810283660889,True,True,False
wifib|device=1|capture=23Jan|frame=2772|row=2418,1,2418,2418,1,0,1,0.3860186040401459,0.3860186040401459,True,1,0.9733394384384155,0.9733394384384155,True,True,False
wifib|device=1|capture=23Jan|frame=2773|row=2419,1,2419,2419,1,0,11,0.5642927289009094,0.3269326984882355,False,1,0.9103026390075684,0.9103026390075684,True,False,False
wifib|device=1|capture=23Jan|frame=2774|row=2420,1,2420,2420,1,0,11,0.45608535408973694,0.4521234631538391,False,1,0.9791528582572937,0.9791528582572937,True,False,False
wifib|device=1|capture=23Jan|frame=2775|row=2421,1,2421,2421,1,0,1,0.5220891237258911,0.5220891237258911,True,1,0.8711568713188171,0.8711568713188171,True,True,True
wifib|device=1|capture=23Jan|frame=2776|row=2422,1,2422,2422,1,0,1,0.6475072503089905,0.6475072503089905,True,1,0.982122540473938,0.982122540473938,True,True,False
wifib|device=1|capture=23Jan|frame=2777|row=2423,1,2423,2423,1,0,1,0.5523905158042908,0.5523905158042908,True,1,0.971964418888092,0.971964418888092,True,True,False
wifib|device=1|capture=23Jan|frame=2778|row=2424,1,2424,2424,1,0,1,0.5503706932067871,0.5503706932067871,True,1,0.933194100856781,0.933194100856781,True,True,False
wifib|device=1|capture=23Jan|frame=2779|row=2425,1,2425,2425,1,0,1,0.46244850754737854,0.46244850754737854,True,1,0.9214361310005188,0.9214361310005188,True,True,True
wifib|device=1|capture=23Jan|frame=2780|row=2426,1,2426,2426,1,0,1,0.4923001825809479,0.4923001825809479,True,1,0.9757041931152344,0.9757041931152344,True,True,True
wifib|device=1|capture=23Jan|frame=2781|row=2427,1,2427,2427,1,0,1,0.5505717992782593,0.5505717992782593,True,1,0.9214687347412109,0.9214687347412109,True,True,False
wifib|device=1|capture=23Jan|frame=2782|row=2428,1,2428,2428,1,0,1,0.5476654171943665,0.5476654171943665,True,1,0.9843589067459106,0.9843589067459106,True,True,False
wifib|device=1|capture=23Jan|frame=2783|row=2429,1,2429,2429,1,0,11,0.4526214599609375,0.4240575432777405,False,1,0.5281276702880859,0.5281276702880859,True,False,False
wifib|device=1|capture=23Jan|frame=2784|row=2430,1,2430,2430,1,0,1,0.49701279401779175,0.49701279401779175,True,1,0.8960490822792053,0.8960490822792053,True,True,False
wifib|device=1|capture=23Jan|frame=2785|row=2431,1,2431,2431,1,0,1,0.5653929114341736,0.5653929114341736,True,1,0.9237945675849915,0.9237945675849915,True,True,True
wifib|device=1|capture=23Jan|frame=2786|row=2432,1,2432,2432,1,0,1,0.47850897908210754,0.47850897908210754,True,1,0.9025781154632568,0.9025781154632568,True,True,False
