sample_id,device_id,cache_index,chronological_rank,buffer_segment_id,true_label,victim_prediction,victim_confidence,victim_true_confidence,victim_clean_correct,evaluator_prediction,evaluator_confidence,evaluator_true_confidence,evaluator_clean_correct,dual_clean_correct
wifib|device=1|capture=23Jan|frame=2129|row=1859,1,1859,1859,0,0,1,0.6580955386161804,0.6580955386161804,True,1,0.9816589951515198,0.9816589951515198,True,True
wifib|device=1|capture=23Jan|frame=2131|row=1861,1,1861,1861,0,0,1,0.6320858597755432,0.6320858597755432,True,1,0.9826085567474365,0.9826085567474365,True,True
wifib|device=1|capture=23Jan|frame=2133|row=1863,1,1863,1863,0,0,1,0.6922420859336853,0.6922420859336853,True,1,0.9943689703941345,0.9943689703941345,True,True
wifib|device=1|capture=23Jan|frame=2136|row=1866,1,1866,1866,0,0,1,0.657829225063324,0.657829225063324,True,1,0.9879561066627502,0.9879561066627502,True,True
wifib|device=1|capture=23Jan|frame=2142|row=1870,1,1870,1870,0,0,1,0.5356037616729736,0.5356037616729736,True,1,0.9600232243537903,0.9600232243537903,True,True
wifib|device=1|capture=23Jan|frame=2149|row=1877,1,1877,1877,0,0,1,0.656387209892273,0.656387209892273,True,1,0.9894746541976929,0.9894746541976929,True,True
wifib|device=1|capture=23Jan|frame=2151|row=1879,1,1879,1879,0,0,1,0.5156861543655396,0.5156861543655396,True,1,0.9630013108253479,0.9630013108253479,True,True
wifib|device=1|capture=23Jan|frame=2155|row=1883,1,1883,1883,0,0,1,0.5634372234344482,0.5634372234344482,True,1,0.9915462136268616,0.9915462136268616,True,True
wifib|device=1|capture=23Jan|frame=2775|row=2421,1,2421,2421,1,0,1,0.5220891237258911,0.5220891237258911,True,1,0.8711568713188171,0.8711568713188171,True,True
wifib|device=1|capture=23Jan|frame=2779|row=2425,1,2425,2425,1,0,1,0.46244850754737854,0.46244850754737854,True,1,0.9214361310005188,0.9214361310005188,True,True
wifib|device=1|capture=23Jan|frame=2780|row=2426,1,2426,2426,1,0,1,0.4923001825809479,0.4923001825809479,True,1,0.9757041931152344,0.9757041931152344,True,True
wifib|device=1|capture=23Jan|frame=2785|row=2431,1,2431,2431,1,0,1,0.5653929114341736,0.5653929114341736,True,1,0.9237945675849915,0.9237945675849915,True,True
wifib|device=1|capture=23Jan|frame=2792|row=2438,1,2438,2438,1,0,1,0.47872766852378845,0.47872766852378845,True,1,0.9824132919311523,0.9824132919311523,True,True
